10/01/15	01/01/13
11/01/15	01/01/13
12/01/15	01/01/13
01/01/16	01/01/13
02/01/16	01/01/13
03/01/16	06/01/13
04/01/16	06/01/13
05/01/16	06/01/13
06/01/16	06/01/13
07/01/16	06/01/13
08/01/16	06/01/13
09/01/16	06/01/13
10/01/16	03/01/13
11/01/16	03/01/13
12/01/16	03/01/13
01/01/17	03/01/13
02/01/17	03/01/13
03/01/17	03/01/13
04/01/17	03/01/13
05/01/17	10/01/13
06/01/17	10/01/13
07/01/17	10/01/13
08/01/17	10/01/13
09/01/17	10/01/13
10/01/17	11/15/13
11/01/17	11/15/13
12/01/17	11/15/13
01/01/18	11/15/13
02/01/18	11/15/14
03/01/18	02/01/15
04/01/18	02/01/15
05/01/18	02/01/15
06/01/18	02/01/15
07/01/18	04/01/15
