10/01/15	01/01/13
11/01/15	01/01/13
12/01/15	01/01/13
01/01/16	01/01/13
02/01/16	01/01/13
03/01/16	06/01/13
04/01/16	06/01/13
05/01/16	06/01/13
06/01/16	06/01/13
07/01/16	06/01/13
08/01/16	06/01/13
09/01/16	06/01/13
10/01/16	03/01/13
11/01/16	03/01/13
12/01/16	03/01/13
01/01/17	03/01/13
02/01/17	03/01/13
03/01/17	03/01/13
04/01/17	03/01/13
05/01/17	10/01/13
06/01/17	10/01/13
07/01/17	10/01/13
08/01/17	10/01/13
09/01/17	10/01/13
10/01/17	11/15/13
11/01/17	11/15/13
12/01/17	11/15/13
01/01/18	11/15/13
02/01/18	11/15/14
03/01/18	02/01/15
04/01/18	02/01/15
05/01/18	02/01/15
06/01/18	02/01/15
07/01/18	04/01/15
08/01/18	04/01/15
09/01/18	04/01/15
10/01/18	06/15/15
11/01/18	06/15/15
12/01/18	09/08/15
01/01/19	09/08/15
02/01/19	11/01/15
03/01/19	05/01/16
04/01/19	07/01/16
05/01/19	09/01/16
06/01/19	11/01/16
07/01/19	02/01/17
08/01/19	02/01/17
09/01/19	06/01/17
10/01/19	08/01/16
11/01/19	08/01/16
12/01/19	08/01/16
01/01/20	08/01/16
02/01/20	08/01/16
03/01/20	08/01/16
04/01/20	08/01/16
05/01/20	08/01/16
06/01/20	08/01/16
07/01/20	08/01/16
08/01/20	08/01/16
09/01/20	08/01/16
10/01/20	10/01/16
11/01/20	10/01/16
12/01/20	10/01/16
01/01/21	10/01/16
02/01/21	10/01/16
03/01/21	10/01/16
04/01/21	01/01/17
05/01/21	07/01/17
06/01/21	01/01/18
07/01/21	07/01/18
08/01/21	07/01/18
09/01/21	09/01/18
10/01/21	09/01/18
11/01/21	02/01/19
12/01/21	04/01/19
01/01/22	04/01/19
02/01/22	04/01/19
03/01/22	04/01/19
04/01/22	04/01/19
05/01/22	04/01/19
06/01/22	04/01/19
07/01/22	05/01/19
08/01/22	05/01/19
09/01/22	05/01/19
10/01/22	07/08/19
